timestamp,esp_current,esp_voltage,esp_rpm,env_temp_c,env_humidity,plc_motor_temp,plc_motor_voltage,power_consumption,overall_health_score,electrical_health,thermal_health,mechanical_health,predictive_health,efficiency_score
2025-07-21T10:13:27.370805,49.0,256.0,2801.0,24.0,48.0,,,12.544,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:30.473744,59.0,244.0,2791.0,26.0,44.0,,,14.396,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:33.563926,57.0,250.0,2774.0,24.0,49.0,,,14.25,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:36.650967,56.0,257.0,2820.0,25.0,44.0,,,14.392,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:39.748822,56.0,254.0,2794.0,24.0,49.0,,,14.224,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:42.809617,52.0,254.0,2824.0,24.0,48.0,,,13.208,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:45.891452,51.0,256.0,2816.0,25.0,50.0,,,13.056,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:48.975973,56.0,247.0,2839.0,24.0,45.0,,,13.832,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:52.055617,54.0,253.0,2803.0,25.0,46.0,,,13.662,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:13:55.149736,54.0,250.0,2819.0,26.0,46.0,,,13.5,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:13:58.235191,49.0,251.0,2759.0,24.0,45.0,,,12.299,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:01.313975,48.0,248.0,2796.0,25.0,46.0,,,11.904,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:04.386640,49.0,247.0,2825.0,26.0,44.0,,,12.103,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:07.452575,59.0,248.0,2829.0,24.0,50.0,,,14.632,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:14:10.536569,52.0,246.0,2846.0,24.0,46.0,,,12.792,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:13.649394,51.0,257.0,2766.0,24.0,46.0,,,13.107,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:16.760311,55.0,244.0,2804.0,26.0,48.0,,,13.42,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:19.835654,57.0,250.0,2757.0,24.0,50.0,,,14.25,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:14:22.932460,48.0,258.0,2769.0,25.0,44.0,,,12.384,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:26.008500,58.0,250.0,2779.0,25.0,45.0,,,14.5,68.0,10.0,100.0,80.0,100.0,50.5
2025-07-21T10:14:29.122324,54.0,248.0,2804.0,26.0,50.0,,,13.392,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:32.214788,50.0,257.0,2817.0,24.0,49.0,,,12.85,68.0,10.0,100.0,80.0,100.0,50.6
2025-07-21T10:14:35.280444,58.0,256.0,2842.0,25.0,51.0,,,14.848,68.0,10.0,100.0,80.0,100.0,50.5
